iter	RMSE
0	24.9547667
1	24.95071282
2	24.94660982
3	24.9425178
4	24.93845717
5	24.93436236
6	24.93023592
7	24.92611631
8	24.92199711
9	24.91789956
10	24.91380553
11	24.90970135
12	24.90562176
13	24.90154678
14	24.89745439
15	24.89336301
16	24.88928015
17	24.8852014
18	24.88109991
19	24.87706803
20	24.87300591
21	24.86885435
22	24.86480706
23	24.86070872
24	24.85663033
25	24.85252564
26	24.84844271
27	24.84432184
28	24.84022433
29	24.83613496
30	24.8320616
31	24.82798148
32	24.82388411
33	24.81982041
34	24.81578926
35	24.81172628
36	24.80763286
37	24.80354054
38	24.79944644
39	24.79539322
40	24.79129626
41	24.7872164
42	24.78322638
43	24.77916757
44	24.77506096
45	24.77102982
46	24.76694993
47	24.76288824
48	24.75879711
49	24.75474799
50	24.75067988
51	24.74660612
52	24.74251967
53	24.73841443
54	24.73426679
55	24.73019274
56	24.72614104
57	24.72215517
58	24.7181265
59	24.71415111
60	24.71009526
61	24.70605765
62	24.70199362
63	24.69793682
64	24.69383238
65	24.68977383
66	24.68572414
67	24.68166917
68	24.67760382
69	24.67357432
70	24.6695544
71	24.66552656
72	24.66149332
73	24.65744483
74	24.65341096
75	24.64935309
76	24.64530572
77	24.64135404
78	24.63733893
79	24.63332683
80	24.62929203
81	24.6252507
82	24.62122484
83	24.61724552
84	24.61324158
85	24.60926129
86	24.60525226
87	24.6012797
88	24.59732634
89	24.59333201
90	24.58937885
91	24.58536338
92	24.58136056
93	24.57734431
94	24.57336408
95	24.56940635
96	24.56538531
