iter	Passed	Remaining
0	294	28259
1	611	29047
2	907	28444
3	1221	28403
4	1519	27954
5	1829	27747
6	2130	27388
7	2413	26847
8	2724	26638
9	3023	26301
10	3327	26018
11	3630	25718
12	3939	25454
13	4250	25198
14	4558	24921
15	4854	24575
16	5155	24261
17	5467	23995
18	5775	23711
19	6101	23492
20	6422	23244
21	6747	23003
22	7053	22693
23	7344	22339
24	7671	22094
25	7997	21839
26	8311	21547
27	8617	21236
28	8907	20886
29	9205	20557
30	9495	20216
31	9819	19945
32	10121	19628
33	10417	19303
34	10713	18978
35	11030	18690
36	11370	18439
37	11689	18149
38	11987	17828
39	12304	17534
40	12617	17233
41	12930	16932
42	13251	16641
43	13571	16348
44	13880	16039
45	14192	15735
46	14500	15425
47	14810	15118
48	15104	14795
49	15425	14500
50	15726	14184
51	16040	13880
52	16344	13568
53	16784	13365
54	17131	13082
55	17431	12762
56	17745	12453
57	18077	12155
58	18375	11834
59	18689	11525
60	19016	11222
61	19327	10910
62	19767	10668
63	20068	10347
64	20376	10031
65	20736	9739
66	21046	9424
67	21351	9105
68	21666	8792
69	21987	8480
70	22281	8159
71	22594	7845
72	22910	7532
73	23213	7214
74	23521	6899
75	23831	6585
76	24146	6271
77	24592	5990
78	24896	5672
79	25200	5355
80	25521	5041
81	25812	4721
82	26114	4404
83	26426	4089
84	26740	3775
85	27044	3459
86	27344	3143
87	27653	2828
88	27957	2512
89	28295	2200
90	28596	1885
91	28908	1571
92	29224	1256
93	29532	942
94	29836	628
95	30132	313
96	30434	0
